DOI:10.15223/policy-029
DOI:10.1021/acsnano.5c07418
DOI:10.1021/acsnano.5c17528
DOI:10.1021/acs.chemmater.2c03023
DOI:10.1016/j.jlumin.2025.121355
DOI:10.1021/acs.nanolett.4c02454
DOI:10.1039/d1na00684c
DOI:10.1038/s41467-026-71518-5
DOI:10.1038/s41467-023-39509-y
DOI:10.1038/s41427-018-0067-9
DOI:10.1002/pssb.202100349.
DOI:10.1021/acs.jpclett.2c03437
DOI:10.1021/acs.jpcc.8b03001
DOI:
DOI:
